Run ID,District Number,Total Costs,Run Time
1,2,94570,0.008868217468261719
2,1,106288,0.010310173034667969
3,1,106567,0.010504007339477539
4,1,106153,0.011925220489501953
5,1,108790,0.010790109634399414
6,1,108574,0.011363983154296875
7,1,107305,0.011349678039550781
8,1,104911,0.015522956848144531
9,1,105685,0.0161898136138916
10,1,109123,0.010289192199707031
11,1,106405,0.016689777374267578
12,1,107413,0.009575843811035156
13,1,108421,0.009434938430786133
14,1,104587,0.009070158004760742
15,1,106621,0.009514093399047852
16,1,109492,0.015444040298461914
17,1,103192,0.010695934295654297
18,1,103984,0.011913299560546875
19,1,107107,0.010905981063842773
20,1,107395,0.012624740600585938
21,1,106207,0.017818212509155273
22,1,104047,0.009994029998779297
23,1,104146,0.009818077087402344
24,1,107845,0.010263919830322266
25,1,109546,0.010415077209472656
26,1,106027,0.016137123107910156
