Run ID,District Number,Total Costs,Run Time
1,1,49174,0.015867233276367188
2,1,56374,0.01446080207824707
3,1,53116,0.02747511863708496
4,1,56761,0.013956069946289062
5,1,50146,0.014070987701416016
6,1,47482,0.017306804656982422
7,1,52018,0.023720979690551758
8,1,46429,0.016958951950073242
9,1,52504,0.021366119384765625
10,1,49030,0.021730899810791016
11,1,52612,0.01642012596130371
12,1,52576,0.018095731735229492
13,1,51910,0.01042485237121582
14,1,54007,0.009979009628295898
15,1,56104,0.01405787467956543
16,1,47851,0.015453100204467773
17,1,53368,0.017308712005615234
18,1,54214,0.010972738265991211
19,1,50362,0.021497249603271484
20,1,54583,0.025538206100463867
21,1,51532,0.01683187484741211
22,1,51136,0.009176969528198242
23,1,54781,0.009273767471313477
24,1,52954,0.012507915496826172
25,1,53485,0.018085002899169922
26,1,49183,0.016189098358154297
27,1,49966,0.022022008895874023
28,1,55339,0.008959054946899414
29,1,58498,0.010738134384155273
30,1,49759,0.016602039337158203
31,1,50722,0.023353099822998047
32,1,53719,0.01592087745666504
33,1,52036,0.019187211990356445
34,1,56140,0.009079933166503906
35,1,52873,0.01977705955505371
36,1,54745,0.010972738265991211
37,1,51316,0.019860029220581055
38,1,52027,0.015763044357299805
39,1,50587,0.014581680297851562
40,1,56338,0.009881973266601562
41,1,52459,0.02075505256652832
42,1,56626,0.009225845336914062
43,1,54871,0.012920856475830078
44,1,55051,0.015523195266723633
45,1,51685,0.020093202590942383
46,1,54232,0.009923219680786133
47,1,52414,0.01517486572265625
48,1,51208,0.014966964721679688
49,1,50434,0.022471904754638672
50,1,55042,0.015164852142333984
51,1,54376,0.010759830474853516
52,1,51937,0.019687175750732422
53,1,51217,0.014616966247558594
54,1,49345,0.016722917556762695
55,1,54367,0.011241912841796875
56,1,51568,0.01496577262878418
57,1,51532,0.018304109573364258
58,1,51667,0.01736593246459961
59,1,52018,0.02007913589477539
60,1,54475,0.011263132095336914
61,1,53467,0.020255088806152344
62,1,50065,0.02026534080505371
63,1,52486,0.02147984504699707
64,1,51703,0.019744157791137695
65,1,51721,0.012260913848876953
66,1,47995,0.01755499839782715
67,1,50947,0.01090693473815918
68,1,50083,0.01889491081237793
69,1,52495,0.020267009735107422
70,1,54943,0.01021885871887207
71,1,48769,0.02501201629638672
72,1,53098,0.010104894638061523
73,1,50407,0.018650054931640625
74,1,51973,0.013879060745239258
75,1,52594,0.010428905487060547
76,1,56545,0.01569986343383789
77,1,48364,0.014772891998291016
78,1,50776,0.01704120635986328
79,1,54196,0.01372385025024414
80,1,52423,0.02915477752685547
81,1,49381,0.019707918167114258
82,1,49876,0.01708388328552246
83,1,52171,0.020349979400634766
84,1,51478,0.01090693473815918
85,1,53764,0.009474754333496094
86,1,56410,0.011484861373901367
87,1,52126,0.016049861907958984
88,1,49759,0.015359878540039062
89,1,56383,0.01079702377319336
90,1,50749,0.01671314239501953
91,1,49768,0.013987064361572266
92,1,51433,0.011002779006958008
93,1,53575,0.019463062286376953
94,1,52531,0.012115001678466797
95,1,51667,0.013067007064819336
96,1,50281,0.012689828872680664
97,1,51001,0.012933015823364258
98,1,50740,0.019493818283081055
99,1,51361,0.019340038299560547
100,1,54862,0.01603102684020996
101,1,53701,0.024706125259399414
102,1,44161,0.016556978225708008
103,1,50452,0.0202939510345459
104,1,49606,0.03012824058532715
105,1,51109,0.01840996742248535
106,1,48949,0.02382683753967285
107,1,51181,0.015923023223876953
108,1,48580,0.014801979064941406
109,1,55843,0.010141134262084961
110,1,49039,0.02154541015625
111,1,54997,0.011566877365112305
112,1,55906,0.01217794418334961
113,1,53971,0.013041019439697266
114,1,51973,0.018327951431274414
115,1,48085,0.01261591911315918
116,1,51964,0.010083198547363281
117,1,50281,0.021030902862548828
118,1,56005,0.009081125259399414
119,1,49615,0.021793127059936523
120,1,48238,0.019678115844726562
121,1,48013,0.01508784294128418
122,1,54331,0.01321101188659668
123,1,51325,0.017131805419921875
124,1,50092,0.01841115951538086
125,1,54349,0.01882481575012207
126,1,49732,0.02177596092224121
127,1,53719,0.011445045471191406
128,1,49372,0.016899824142456055
129,1,52279,0.011171817779541016
130,1,55681,0.01472020149230957
131,1,50839,0.021794795989990234
132,1,49480,0.01858687400817871
133,1,54394,0.01225590705871582
134,1,52945,0.010069131851196289
135,1,55384,0.009670257568359375
136,1,56869,0.012520790100097656
137,1,54475,0.009701967239379883
138,1,52855,0.0173189640045166
139,1,48499,0.014611244201660156
140,1,55123,0.01512598991394043
141,1,48868,0.01269984245300293
142,1,48886,0.01452326774597168
143,1,48823,0.0175931453704834
144,1,52270,0.012021064758300781
145,1,54871,0.013356924057006836
146,1,51235,0.009747982025146484
147,1,50137,0.014452934265136719
